               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.042089,            0.069354,            0.007972,             0.68024,             0.42134,             0.45556,             0.22702,            0.038859,            0.069298,           0.0065863,           0.0097178,           0.0097178,           0.0097178
                  36,            0.042074,            0.069607,           0.0079509,             0.67994,             0.42348,             0.45616,             0.22717,            0.038839,            0.069271,           0.0065764,           0.0097011,           0.0097011,           0.0097011
                  37,            0.042087,            0.069404,           0.0079529,             0.70038,             0.41441,             0.45623,             0.22759,            0.038822,            0.069249,           0.0065652,            0.009684,            0.009684,            0.009684
                  38,            0.042037,            0.069461,           0.0079866,             0.69511,             0.41695,             0.45687,             0.22794,            0.038804,            0.069226,           0.0065569,           0.0096664,           0.0096664,           0.0096664
                  39,            0.041974,            0.069402,           0.0079188,             0.69843,             0.41566,              0.4569,             0.22803,            0.038787,            0.069204,           0.0065472,           0.0096484,           0.0096484,           0.0096484
                  40,            0.042026,            0.069245,           0.0079093,             0.70021,             0.41297,             0.45727,             0.22838,            0.038769,            0.069181,           0.0065361,           0.0096299,           0.0096299,           0.0096299
                  41,               0.042,            0.069288,           0.0079169,             0.70574,             0.41095,             0.45819,              0.2285,            0.038752,            0.069165,           0.0065264,            0.009611,            0.009611,            0.009611
                  42,            0.041971,            0.069232,           0.0079205,               0.682,             0.41946,             0.45901,             0.22892,            0.038737,            0.069146,           0.0065148,           0.0095916,           0.0095916,           0.0095916
                  43,            0.041936,            0.069196,           0.0079094,             0.69986,             0.41261,             0.45903,             0.22888,            0.038721,             0.06913,           0.0065069,           0.0095717,           0.0095717,           0.0095717
                  44,             0.04189,            0.069153,            0.007851,             0.69207,             0.41623,             0.45907,             0.22902,            0.038704,            0.069118,           0.0064992,           0.0095514,           0.0095514,           0.0095514
                  45,            0.041874,            0.069199,           0.0079072,             0.68157,             0.42106,             0.45921,              0.2292,            0.038688,            0.069102,           0.0064922,           0.0095307,           0.0095307,           0.0095307
                  46,            0.041853,            0.069099,           0.0078394,             0.68118,             0.42143,             0.45934,             0.22947,            0.038673,            0.069087,           0.0064843,           0.0095095,           0.0095095,           0.0095095
                  47,            0.041897,            0.069058,            0.007886,              0.6841,             0.42024,             0.45969,             0.22949,            0.038659,            0.069073,           0.0064779,           0.0094879,           0.0094879,           0.0094879
                  48,            0.041873,            0.069334,           0.0078553,             0.69239,             0.41588,             0.45887,              0.2291,             0.03869,            0.069076,           0.0064887,           0.0094659,           0.0094659,           0.0094659
                  49,            0.041809,            0.069153,            0.007866,             0.69475,             0.41462,             0.45897,             0.22932,            0.038672,            0.069056,           0.0064799,           0.0094434,           0.0094434,           0.0094434
                  50,            0.041788,            0.068953,           0.0078532,             0.70504,             0.41115,             0.45934,              0.2297,            0.038658,            0.069039,           0.0064742,           0.0094205,           0.0094205,           0.0094205
                  51,            0.041828,             0.06914,           0.0078698,             0.68348,             0.41822,             0.45902,             0.22949,            0.038658,            0.069039,           0.0064717,           0.0093971,           0.0093971,           0.0093971
                  52,            0.041832,            0.069122,           0.0078549,             0.68809,             0.41762,             0.45948,              0.2296,            0.038645,            0.069029,           0.0064634,           0.0093733,           0.0093733,           0.0093733
                  53,            0.041761,            0.069168,           0.0078078,             0.69279,             0.41645,             0.46004,             0.22986,            0.038632,            0.069011,           0.0064573,           0.0093491,           0.0093491,           0.0093491
                  54,            0.041731,            0.068938,           0.0078091,             0.68911,             0.41787,             0.46022,             0.23003,            0.038623,            0.068991,           0.0064517,           0.0093245,           0.0093245,           0.0093245
                  55,            0.041736,            0.068951,           0.0078187,             0.68766,             0.41764,             0.46102,             0.23025,            0.038613,            0.068975,           0.0064454,           0.0092995,           0.0092995,           0.0092995
