,Unnamed: 0,time,latitude,longitude,speed,original_file,image_file,obj_class_name,obj_class,x,y,w,h,confidences,date,month,day of week,box area,is_on_bus_line,should_keep
275445,391941,2021-11-19 01:25:21,37.868541666666665,-122.25447777777778,17.7027,GRMN_Bancroft_1669.MP4,GRMN_Bancroft_1669_1192.jpg,bus,1,0.6895833611488342,0.543055534362793,0.1927083283662796,0.3009259402751922,0.8808658719062805,2021-11-19 01:25:21,11,4,0.05799093491248318,False,True
276373,393394,2021-11-19 01:27:15,37.86880833333333,-122.25865277777778,14.4841,GRMN_Bancroft_1671.MP4,GRMN_Bancroft_1671_1003.jpg,bus,1,0.1458333283662796,0.4791666567325592,0.2916666567325592,0.5379629731178284,0.9046610593795776,2021-11-19 01:27:15,11,4,0.15690586181518462,False,True
276354,393370,2021-11-19 01:27:14,37.86881111111112,-122.2586,17.7027,GRMN_Bancroft_1671.MP4,GRMN_Bancroft_1671_986.jpg,ups_truck,5,0.1848958283662796,0.4953703582286834,0.2531250119209289,0.4037036895751953,0.9129970073699952,2021-11-19 01:27:14,11,4,0.10218750123624429,False,True
276564,393708,2021-11-19 01:28:39,37.86855,-122.260475,6.4374,GRMN_Bancroft_1672.MP4,GRMN_Bancroft_1672_1717.jpg,bus,1,0.2601562440395355,0.6129629611968994,0.194270834326744,0.2055555582046508,0.8989589214324951,2021-11-19 01:28:39,11,4,0.039933449792917096,False,True
276644,393905,2021-11-19 01:29:33,37.86815,-122.2639638888889,9.656,GRMN_Bancroft_1673.MP4,GRMN_Bancroft_1673_1541.jpg,bus,1,0.3330729305744171,0.5601851940155029,0.1182291656732559,0.1481481492519378,0.8941543698310852,2021-11-19 01:29:33,11,4,0.0175154320820936,False,True
277573,395158,2021-11-19 01:52:02,37.86811111111111,-122.25436111111112,17.7027,GRMN_Bancroft_1675.MP4,GRMN_Bancroft_1675_599.jpg,bus,1,0.4289062619209289,0.4717592597007751,0.038020834326744,0.0768518522381782,0.8572936058044434,2021-11-19 01:52:02,11,4,0.0029219715416511837,False,True
278080,395743,2021-11-19 01:52:23,37.86908888888889,-122.254575,14.4841,GRMN_Bancroft_1675.MP4,GRMN_Bancroft_1675_1200.jpg,bus,1,0.061458334326744,0.520370364189148,0.1218750029802322,0.1425925940275192,0.9059246182441713,2021-11-19 01:52:23,11,4,0.01737847282206294,False,True
278273,395942,2021-11-19 01:52:41,37.86931944444444,-122.25476666666668,1.6093,GRMN_Bancroft_1675.MP4,GRMN_Bancroft_1675_1745.jpg,bus,1,0.1867187470197677,0.4935185313224792,0.0973958298563957,0.192592591047287,0.9100493788719176,2021-11-19 01:52:41,11,4,0.01875771522924396,False,True
279730,397408,2021-11-19 01:53:30,37.86923888888889,-122.25530277777776,20.9214,GRMN_Bancroft_1676.MP4,GRMN_Bancroft_1676_1411.jpg,bus,1,0.4916666746139526,0.4722222089767456,0.022916667163372,0.0537037029862403,0.8516157269477844,2021-11-19 01:53:30,11,4,0.001230709886776256,False,True
280087,397790,2021-11-19 01:53:41,37.86914166666666,-122.25614166666666,17.7027,GRMN_Bancroft_1676.MP4,GRMN_Bancroft_1676_1798.jpg,bus,1,0.4747395813465118,0.4791666567325592,0.053645834326744,0.108333334326744,0.8938780426979065,2021-11-19 01:53:41,11,4,0.005811632105356277,False,True
280366,398069,2021-11-19 01:53:52,37.86907222222222,-122.25662222222222,11.2654,GRMN_Bancroft_1677.MP4,GRMN_Bancroft_1677_277.jpg,bus,1,0.4664062559604645,0.4731481373310089,0.042187500745058,0.0907407402992248,0.8578827381134033,2021-11-19 01:53:52,11,4,0.0038281250489806606,False,True
281048,398979,2021-11-19 01:54:41,37.86873611111111,-122.25920833333332,14.4841,GRMN_Bancroft_1677.MP4,GRMN_Bancroft_1677_1798.jpg,bus,1,0.4958333373069763,0.4939814805984497,0.0718749985098838,0.1324074119329452,0.8683414459228516,2021-11-19 01:54:41,11,4,0.009516782535378005,False,True
281379,399315,2021-11-19 01:54:53,37.86872777777778,-122.2595,1.6093,GRMN_Bancroft_1678.MP4,GRMN_Bancroft_1678_322.jpg,bus,1,0.4375,0.484722226858139,0.1479166597127914,0.3046296238899231,0.9223185777664183,2021-11-19 01:54:53,11,4,0.04505979641536138,False,True
282244,400181,2021-11-19 01:55:22,37.86869444444444,-122.25966666666666,4.828,GRMN_Bancroft_1678.MP4,GRMN_Bancroft_1678_1176.jpg,bus,1,0.9213541746139526,0.5245370268821716,0.1572916656732559,0.7638888955116272,0.8545604944229126,2021-11-19 01:55:22,11,4,0.12015335676432756,False,True
283878,402024,2021-11-19 01:56:24,37.86833333333333,-122.26240277777778,25.7494,GRMN_Bancroft_1679.MP4,GRMN_Bancroft_1679_1249.jpg,bus,1,0.4169270694255829,0.4763889014720917,0.0473958328366279,0.0972222238779068,0.9192913174629213,2021-11-19 01:56:24,11,4,0.004607928270922484,False,True
284629,402941,2021-10-05 00:56:05,37.868677777777776,-122.25979166666669,3.2187,GRMN_Bancroft_168.MP4,GRMN_Bancroft_168_881.jpg,bus,1,0.5054687261581421,0.5703703761100769,0.042187500745058,0.0925925895571708,0.8641222715377808,2021-10-05 00:56:05,10,1,0.0039062499409299924,False,True
285366,403861,2021-11-19 01:57:11,37.86798611111112,-122.26517777777778,16.0934,GRMN_Bancroft_1680.MP4,GRMN_Bancroft_1680_867.jpg,bus,1,0.4723958373069763,0.4902777671813965,0.045833334326744,0.108333334326744,0.8520415425300598,2021-11-19 01:57:11,11,4,0.00496527793092859,False,True
286068,404787,2021-11-19 01:57:39,37.86784444444445,-122.26615555555556,3.2187,GRMN_Bancroft_1680.MP4,GRMN_Bancroft_1680_1699.jpg,bus,1,0.8361979126930237,0.4689814746379852,0.3276041746139526,0.8435184955596924,0.8501088619232178,2021-11-19 01:57:39,11,4,0.27634018050943604,False,True
286403,405330,2021-11-19 02:23:14,37.86771111111111,-122.25431944444443,24.1401,GRMN_Bancroft_1681.MP4,GRMN_Bancroft_1681_892.jpg,bus,1,0.4757812619209289,0.4879629611968994,0.0317708328366279,0.0666666701436042,0.8502108454704285,2021-11-19 02:23:14,11,4,0.0021180556329070607,False,True
286761,406132,2021-11-19 02:25:36,37.86898333333333,-122.25746388888888,22.5308,GRMN_Bancroft_1683.MP4,GRMN_Bancroft_1683_1537.jpg,bus,1,0.1385416686534881,0.654629647731781,0.2739583253860473,0.2351851910352707,0.9027485251426696,2021-11-19 02:25:36,11,4,0.06443094109162038,False,True
286829,406267,2021-11-19 02:25:47,37.868877777777776,-122.25810555555556,4.828,GRMN_Bancroft_1684.MP4,GRMN_Bancroft_1684_63.jpg,bus,1,0.293749988079071,0.5546296238899231,0.1291666626930236,0.175925925374031,0.8715897798538208,2021-11-19 02:25:47,11,4,0.022723764661745506,False,True
