               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/car_mAP_50,  metrics/bus_mAP_50,metrics/other_truck_mAP_50,metrics/uhaul_truck_mAP_50,metrics/fedex_truck_mAP_50,metrics/ups_truck_mAP_50,metrics/amazon_truck_mAP_50,metrics/usps_truck_mAP_50
                  21,            0.030941,           0.0090682,            0.011701,             0.20155,             0.53574,             0.33636,             0.15666,            0.022279,           0.0065325,           0.0092754,           0.0029223,           0.0029223,           0.0067723,             0.32296,             0.28721,             0.16022,            0.019501,             0.10306,             0.15177,            0.094114,             0.11444
                  22,            0.030527,           0.0090754,            0.011741,             0.34571,             0.54396,             0.35086,             0.19163,            0.020424,           0.0064028,           0.0092966,           0.0030521,           0.0030521,           0.0048021,             0.34215,             0.38047,             0.14966,            0.046163,             0.11856,             0.22687,              0.1274,             0.14178
                  23,            0.029127,           0.0094965,            0.011303,             0.31806,             0.59542,             0.36896,             0.20065,            0.021044,           0.0060696,           0.0090063,           0.0031594,           0.0031594,           0.0031594,             0.34981,             0.35063,             0.17436,            0.030869,              0.1738,             0.24449,             0.13521,             0.14602
                  24,            0.028303,           0.0088306,            0.011208,             0.35118,             0.57119,             0.39149,             0.20211,            0.019662,           0.0059687,           0.0088284,           0.0031594,           0.0031594,           0.0031594,             0.36792,             0.44419,             0.16004,            0.040022,             0.14404,             0.22343,             0.10747,             0.12973
                  25,            0.028213,           0.0084024,             0.01116,              0.3399,             0.60716,             0.39914,             0.20713,             0.01976,           0.0058992,           0.0087061,           0.0031558,           0.0031558,           0.0031558,              0.4441,             0.48812,             0.18034,            0.041579,            0.090396,             0.14914,             0.11034,             0.15301
                  26,            0.027032,           0.0091679,            0.010907,             0.38694,               0.543,              0.3884,             0.21635,            0.018077,           0.0057417,           0.0086768,            0.003152,            0.003152,            0.003152,             0.40799,             0.49092,             0.18102,             0.02877,            0.091458,             0.24726,             0.13273,             0.15063
                  27,            0.026316,           0.0082555,            0.010684,             0.36418,             0.60793,             0.41067,              0.2422,            0.017685,           0.0056601,           0.0084851,           0.0031481,           0.0031481,           0.0031481,             0.46685,             0.50434,             0.18833,            0.036871,             0.15428,             0.30657,              0.1348,             0.14558
                  28,            0.025491,           0.0086001,            0.010379,             0.36016,             0.63107,              0.4211,             0.22777,            0.017938,            0.005514,           0.0082915,           0.0031441,           0.0031441,           0.0031441,             0.41045,             0.48085,             0.15943,            0.034743,             0.15053,             0.27954,             0.13827,             0.16838
                  29,            0.025487,           0.0082255,            0.010312,             0.37167,             0.62152,             0.42049,             0.23698,            0.017415,            0.005439,           0.0080431,           0.0031399,           0.0031399,           0.0031399,             0.42917,             0.40837,             0.20165,            0.033783,             0.19371,             0.30386,             0.15125,             0.17402
                  30,            0.024642,           0.0080659,            0.010059,             0.37898,             0.59591,             0.42737,             0.24722,            0.017259,           0.0053767,           0.0078214,           0.0031356,           0.0031356,           0.0031356,             0.44497,             0.49102,             0.19666,            0.033694,             0.19156,             0.30441,             0.15073,             0.16471
                  31,            0.024629,            0.007688,            0.010143,             0.36164,             0.63579,              0.4348,              0.2524,            0.017135,           0.0053876,           0.0077865,           0.0031311,           0.0031311,           0.0031311,             0.50154,             0.44756,             0.21976,            0.050147,              0.1893,             0.27146,             0.13511,             0.20437
                  32,            0.024826,           0.0079063,           0.0098689,             0.37357,             0.66243,             0.44503,              0.2642,            0.016442,           0.0053779,           0.0077839,           0.0031265,           0.0031265,           0.0031265,             0.48883,             0.50068,             0.23543,            0.041683,             0.19578,             0.30201,              0.1633,             0.18591
                  33,            0.024154,           0.0081648,           0.0095193,             0.42437,             0.59047,             0.44817,             0.26054,            0.017312,           0.0052385,           0.0076461,           0.0031217,           0.0031217,           0.0031217,             0.46885,             0.49127,             0.20932,             0.03905,             0.19968,             0.28338,             0.14888,             0.24391
                  34,            0.023366,           0.0078679,           0.0096673,             0.41913,             0.59282,             0.45797,             0.28663,            0.016312,            0.005214,           0.0075397,           0.0031168,           0.0031168,           0.0031168,             0.50252,              0.5514,             0.21474,            0.039529,             0.21964,             0.31246,             0.19406,             0.25867
                  35,            0.023987,           0.0078904,           0.0094807,             0.41956,             0.59174,             0.45459,             0.26868,            0.017385,           0.0051675,           0.0074472,           0.0031117,           0.0031117,           0.0031117,              0.4515,             0.49395,             0.21576,            0.037692,             0.20084,             0.28656,             0.19665,             0.26649
